Age ,Gender,heard_CCM_website,heard_community_event,heard_current_student,heard_family_friend_member,heard_from_high_school,interested_computing_App_Dev,interested_computing_Comp_Prog,interested_computing_CyberSec,interested_computing_Data_Anal,interested_computing_Game_Design,interested_computing_ML_AI,interested_computing_web_dev,interest_CS_IT_GameDev_scale,Timestamp,impact_family_friend_influence,impact_affordable_cost,impact_choice_programs,impact_college_reputation,impact_online_offerings,scholarships,impact_transfer_student,motivation_professional_dev,motivation_keep_computing_skills_current,current_enrolled_course
19-20,Prefer not to say,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,2,2024/09/10 10:47:35 AM AST,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Yes,Yes,CMP 126 Computer Technology and Applications
19-20,Woman,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,3,2024/09/10 11:00:05 AM AST,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,Yes,Yes,CMP 126 Computer Technology and Applications
18 and younger,Man,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,5,2024/09/10 11:02:51 AM AST,,,No Impact,No Impact,No Impact,,No Impact,Yes,Yes,CMP 126 Computer Technology and Applications
19-20,Man,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,3,2024/09/10 11:05:25 AM AST,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,CMP 126 Computer Technology and Applications
19-20,Woman,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,3,2024/09/10 8:37:36 PM AST,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Yes,Yes,CMP 101 Computer Information Literacy
19-20,Woman,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,3,2024/09/10 9:29:27 PM AST,High Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,High Impact,No,Yes,CMP 101 Computer Information Literacy
19-20,Woman,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,3,2024/09/10 10:52:37 PM AST,High Impact,Some Impact,High Impact,No Impact,,No Impact,No Impact,Yes,Yes,CMP 101 Computer Information Literacy
18 and younger,Woman,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,3,2024/09/11 10:54:10 AM AST,No Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Yes,Yes,CMP 101 Computer Information Literacy
19-20,Woman,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,2,2024/09/11 12:40:52 PM AST,No Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No,No,CMP 126 Computer Technology and Applications
19-20,Woman,No,No,No,No,Yes,No,No,No,No,No,No,No,1,2024/09/11 7:06:45 PM AST,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No,No,CMP 101 Computer Information Literacy
25-34,Woman,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,2,2024/09/11 8:16:57 PM AST,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No,Yes,CMP 101 Computer Information Literacy
21-24,Woman,No,No,Yes,No,No,No,No,No,No,No,No,No,2,2024/09/12 9:34:01 AM AST,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
21-24,Woman,No,No,Yes,No,No,No,No,No,No,No,No,No,2,2024/09/12 9:34:06 AM AST,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
21-24,Woman,No,No,No,Yes,No,No,No,No,No,No,No,No,1,2024/09/12 10:29:04 AM AST,No Impact,Some Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
18 and younger,Non-binary,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2,2024/09/12 11:29:38 AM AST,No Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Yes,No,CMP 135 Computer Concepts with Applications
19-20,Man,No,No,No,No,Yes,No,No,No,No,No,Yes,No,2,2024/09/12 11:30:15 AM AST,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
18 and younger,Woman,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,2,2024/09/12 11:30:18 AM AST,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,CMP 135 Computer Concepts with Applications
18 and younger,Man,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,2,2024/09/12 11:30:21 AM AST,No Impact,High Impact,Some Impact,High Impact,No Impact,Some Impact,High Impact,No,Yes,CMP 135 Computer Concepts with Applications
18 and younger,Woman,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,4,2024/09/12 11:30:23 AM AST,No Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
19-20,Man,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,2,2024/09/12 11:30:37 AM AST,No Impact,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,No,Yes,CMP 135 Computer Concepts with Applications
18 and younger,Woman,No,No,No,Yes,Yes,No,No,No,No,No,No,No,3,2024/09/12 11:30:41 AM AST,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,CMP 135 Computer Concepts with Applications
19-20,Man,No,No,No,Yes,No,No,No,No,No,No,No,No,2,2024/09/12 11:30:44 AM AST,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,CMP 135 Computer Concepts with Applications
25-34,Man,No,No,No,No,Yes,No,No,No,No,No,No,No,2,2024/09/12 11:30:59 AM AST,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
25-34,Man,No,No,No,Yes,No,No,No,Yes,No,No,No,No,3,2024/09/12 11:31:09 AM AST,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,CMP 101 Computer Information Literacy
19-20,Woman,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,5,2024/09/12 11:31:20 AM AST,,Some Impact,High Impact,,High Impact,,Some Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
18 and younger,Man,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2,2024/09/12 11:31:27 AM AST,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,CMP 135 Computer Concepts with Applications
19-20,Woman,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,2,2024/09/12 11:31:56 AM AST,No Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,Yes,No,CMP 135 Computer Concepts with Applications
19-20,Man,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,2,2024/09/12 11:32:08 AM AST,No Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
25-34,Man,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,3,2024/09/12 11:32:22 AM AST,Some Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
21-24,Woman,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,2,2024/09/12 11:32:31 AM AST,No Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
21-24,Woman,No,No,Yes,Yes,No,No,No,No,No,No,No,No,2,2024/09/12 11:32:42 AM AST,Some Impact,,No Impact,No Impact,Some Impact,High Impact,No Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
18 and younger,Woman,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,4,2024/09/12 11:32:44 AM AST,Some Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Yes,No,CMP 135 Computer Concepts with Applications
18 and younger,Woman,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,1,2024/09/12 11:33:25 AM AST,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
35-64,Man,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,3,2024/09/12 12:41:01 PM AST,High Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,Yes,Yes,CMP 101 Computer Information Literacy
21-24,Woman,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,1,2024/09/12 3:57:02 PM AST,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Yes,Yes,CMP 101 Computer Information Literacy
19-20,Man,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,1,2024/09/12 8:04:41 PM AST,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
21-24,Man,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,3,2024/09/12 8:04:45 PM AST,No Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
19-20,Man,No,No,No,No,Yes,No,No,No,No,No,No,No,1,2024/09/12 8:04:48 PM AST,No Impact,,,,,,,No,No,CMP 135 Computer Concepts with Applications
19-20,Woman,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,3,2024/09/12 8:04:56 PM AST,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
19-20,Woman,No,No,No,No,Yes,No,No,No,No,No,Yes,No,2,2024/09/12 8:05:15 PM AST,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Yes,No,CMP 135 Computer Concepts with Applications
21-24,Woman,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,5,2024/09/12 8:05:28 PM AST,Some Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
